Brand Name,Rating,Organic,Plant Base,Score
"New Barn Coconut, Organic, Unsweetened",5,Yes,Almond,1550
"Rise Brewing, Organic Chocolate",5,Yes,Oat,1520
"Rise Brewing, Organic Original",5,Yes,Oat,1520
"Earth's Own Oat, Organic Original",5,Yes,Oat,1510
"WestSoy, Organic, Unsweetened Vanilla",5,Yes,Soy,1500
"EdenSoy, Organic, Cocoa",5,Yes,Soy,1500
"Thrive Market, Organic Almond",5,Yes,Almond,1500
"New Barn Almond, Organic, Barista",5,Yes,Almond,1500
"Forager Project Cashew, Organic, Unsweetened",5,Yes,Cashew,1500
"Oatsome, Organic Original",5,Yes,Oat,1470
"Rise Brewing, Organic Vanilla",5,Yes,Oat,1470
"Mooala Bananamilk, Organic Chocolate",4,Yes,Banana,1450
"Mooala Oat, Organic, Unsweetened Coconut",4,Yes,Oat,1450
"Mooala Almond, Organic, Vanilla",4,Yes,Almond,1450
"Forager Project Oat, Organic",4,Yes,Oat,1450
"So Delicious Coconut, Organic, Original",4,Yes,Coconut,1450
"Cadia Almond, Organic",4,Yes,Almond,1450
"GreenWise Soy, Organic, Plain",4,Yes,Soy,1450
"Mooala Bananamilk, Organic",4,Yes,Banana,1450
"O Organics Soy, Organic, Plain",4,Yes,Soy,1450
"GreenWise Soy, Organic, Vanilla",4,Yes,Soy,1450
"Mooala Almond, Organic",4,Yes,Almond,1450
"O Organics Soy, Organic, Vanilla",4,Yes,Soy,1450
"Naturgreen Oat, Organic",4,Yes,Oat,1450
"365 Almond, Organic, Unsweetened Vanilla",4,Yes,Almond,1430
"Minor Figures Barista Oat, Organic",4,Yes,Oat,1420
"Trader Joe's Rice, Organic",4,Yes,Rice,1420
"Simple Truth Soy, Organic, Plain",4,Yes,Soy,1410
"Simple Truth Soy, Organic, Vanilla",4,Yes,Soy,1410
"Natur-a Soy, Organic, Unsweetened",4,Yes,Soy,1400
"Full Circle Soy, Organic, Original",4,Yes,Soy,1400
"Natural By Nature Oat, Organic, Unsweetend",4,Yes,Oat,1400
"Vita Coco Coconut, Organic Original",4,Yes,Coconut,1400
"O Organics Almond, Organic, Unsweetened",4,Yes,Almond,1400
"Mooala Bananamilk, Organic, Strawberry",4,Yes,Banana,1400
"O Organics Coconut, Organic, Unsweetened Original",4,Yes,Coconut,1400
"SimplyNature Almond, Organic, Unsweetened",4,Yes,Almond,1400
"O Organics Almond, Organic, Unsweetened Vanilla",4,Yes,Almond,1400
"Cadia Almond, Organic, Vanilla",4,Yes,Almond,1400
"O Organics Almond, Vanilla",4,Yes,Almond,1400
"Earth's Own Soy, Organic Original",4,Yes,Soy,1400
"Full Circle Almond, Organic, Original",4,Yes,Almond,1400
"Natural By Nature Oat, Creamer",4,Yes,Oat,1400
"Pacific Foods Oat, Organic, Original",4,Yes,Oat,1390
"Pacific Foods Almond, Organic, Unsweetened Original",4,Yes,Almond,1390
"Pacific Foods Almond, Organic, Unsweetened Vanilla",4,Yes,Almond,1390
"365 Soy, Organic, Unsweetened Original",4,Yes,Soy,1380
"365 Almond, Organic, Unsweetened",4,Yes,Almond,1380
"Willa's Oat, Organic Creamy",4,Yes,Oat,1370
"Full Circle Soy, Organic, Vanilla",4,Yes,Soy,1350
"Full Circle Almond, Organic, Unsweetened",4,Yes,Almond,1350
"Full Circle Soy, Organic, Original Unsweetened",4,Yes,Soy,1350
"So Delicious Coconut, Organic, Unsweetened Vanilla",4,Yes,Coconut,1350
"So Delicious Coconut, Organic, Unsweetened",4,Yes,Coconut,1350
"So Delicious Coconut, Organic Vanilla",4,Yes,Coconut,1350
"Pacific Foods Almond, Organic, Vanilla",4,Yes,Almond,1340
"Pacific Foods Oat, Organic, Vanilla",4,Yes,Oat,1340
"Pacific Foods Almond, Organic, Original",4,Yes,Almond,1340
"365 Coconut, Organic, Unsweetened Vanilla",4,Yes,Coconut,1330
"365 Coconut, Organic, Unsweetened Original",4,Yes,Coconut,1330
"365 Soy, Organic, Original",4,Yes,Soy,1330
"365 Soy, Organic, Vanilla",4,Yes,Soy,1330
"365 Almond, Organic, Chocolate Unsweetened",4,Yes,Almond,1330
"Silk Almond, Organic Unsweetened Vanilla",4,Yes,Almond,1310
"Silk Almond, Organic Original",4,Yes,Almond,1310
"Silk Soy, Organic, Unsweetened",4,Yes,Soy,1310
"Silk Soy, Organic, Vanilla",4,Yes,Soy,1310
"Simple Truth Almond, Organic, Unsweetened",4,Yes,Almond,1310
"Silk Almond, Organic Unsweetened",4,Yes,Almond,1310
"Simple Truth Soy, Organic, Unsweetened",4,Yes,Soy,1310
"Natural By Nature Oat, Organic, Vanilla",4,Yes,Oat,1300
"Full Circle Almond, Organic, Vanilla Unsweetened",4,Yes,Almond,1300
"Natur-a Soy, Organic, Vanilla Light",4,Yes,Soy,1300
"Full Circle Almond, Organic, Vanilla",4,Yes,Almond,1300
"Pacific Foods Coconut, Organic, Original",4,Yes,Coconut,1290
"Pacific Foods Coconut, Organic, Unsweetened Vanilla",4,Yes,Coconut,1290
"Pacific Foods Coconut, Organic, Unsweetened",4,Yes,Coconut,1290
"Pacific Foods Oat, Organic, Original Reduced Sugar",4,Yes,Oat,1290
"Elmhurst Hazelnut, Unsweetened",4,No,Hazelnut,1250
"Elmhurst Cashew, Unsweetened",4,No,Cashew,1250
"Elmhurst Oat, Unsweetened",4,No,Oat,1250
"So Delicious Coconut, Original, Sugar Free",4,Yes,Coconut,1250
"Elmhurst Walnut, Unsweetened",4,No,Walnut,1250
"Orgain Almond, Organic, Lightly Sweetened Vanilla",4,Yes,Almond,1250
"Orgain Almond, Organic, Unsweetened Vanilla",4,Yes,Almond,1250
"Elmhurst Almond, Unsweetened",4,No,Almond,1250
"Pacific Foods Almond, Organic, Chocolate",4,Yes,Almond,1240
"Silk Soy, Organic, Vanilla Unsweetened",4,Yes,Soy,1210
"Wild Harvest Soy, Organic, Chocolate",4,Yes,Soy,1210
"Natur-a Soy, Organic, Original Chocolate",4,Yes,Soy,1200
"Natur-a Soy, Organic, Strawberry",4,Yes,Soy,1200
"Natur-a Soy, Organic, Original Light",4,Yes,Soy,1200
"Sunrich Naturals Soy, Organic",4,Yes,Soy,1200
"Natur-a Soy, Organic",4,Yes,Soy,1200
"Natur-a Soy, Organic Vanilla",4,Yes,Soy,1200
"Natur-a Soy, Organic, Cappuccino",4,Yes,Soy,1200
"SimplyNature Soy, Organic, Original",4,Yes,Soy,1150
"Sunrise Soy, Unsweetened",4,No,Soy,1150
"Sunrich Naturals Soy, Organic, Vanilla",4,Yes,Soy,1150
"Natur-a Rice, Organic Original",4,Yes,Rice,1150
"Sunrich Naturals Soy, Organic, Chocolate",4,Yes,Soy,1150
"Pacific Foods Cashew, Made with Organic, Unsweetened",4,Yes,Cashew,1140
"Dream Rice, Organic, Original Classic",4,Yes,Rice,1133
"Wild Harvest Soy, Organic, Original",4,Yes,Soy,1110
"Wild Harvest Soy, Organic, Vanilla",4,Yes,Soy,1110
"Pearl Soymilk, Organic, Coffee",3,Yes,Soy,1100
"Pearl Soymilk, Organic, Creamy Vanilla",3,Yes,Soy,1100
"Pearl Soymilk, Organic, Green Tea",3,Yes,Soy,1100
"Pearl Soymilk, Organic, Original",3,Yes,Soy,1100
"Pearl Soymilk, Organic, Chocolate",3,Yes,Soy,1100
"Pearl Soymilk, Organic, Unsweetened",3,Yes,Soy,1100
"Pacific Foods Cashew, Made with Organic, Original",3,Yes,Cashew,1090
"Dream Soy, Organic, Original Enriched",3,Yes,Soy,1083
"Dream Rice, Organic, Original Enriched",3,Yes,Rice,1083
"Trader Joe's Soymilk, Organic, Vanilla",3,Yes,Soy,1070
"President's Choice Almond, Organic, Unsweetened Vanilla",3,Yes,Almond,1050
"Sunrise Soy, Sweetened",3,No,Soy,1050
"President's Choice Almond, Organic, Unsweetened",3,Yes,Almond,1050
"WestSoy, Organic Plus, Vanilla",3,Yes,Soy,1000
"WestSoy, Organic Plus, Plain",3,Yes,Soy,1000
"Natur-a Rice, Organic Vanilla",3,Yes,Rice,1000
"Pacific Foods Soy, Ultra, Original",3,Yes,Soy,990
"Nature's Promise Soy, Organic, Vanilla",3,Yes,Soy,990
"President's Choice Soy, Organic Low Fat",3,Yes,Soy,975
"Kirkland Soy, Organic, Vanilla",3,Yes,Soy,966
Minor Figures Barista Oat,3,No,Oat,920
"Kirkland Soy, Organic Plain",3,Yes,Soy,916
"Dream Rice, Organic, Unsweetened Enriched",3,Yes,Rice,883
"Califia Farms Oat, Original",3,No,Oat,850
"Oat-ly Oat, Low-Fat",3,No,Oat,850
"Dream Rice, Vanilla Classic",3,No,Rice,833
"Trader Joe's Coconut, Unsweetened",3,No,Coconut,820
"Kirkland Almond, Unsweetened Vanilla",3,No,Almond,816
"Silk Almond/Coconut, Unsweetened",3,No,Almond,810
Elmhurst Cashew,3,No,Cashew,800
Elmhurst Oat,3,No,Oat,800
"Elmhurst Oat, Chocolate",3,No,Oat,800
Tempt/Living Harvest Hemp/Coconut Unsweetened,3,No,Blend,800
"Pacific Foods Hemp, Original",3,No,Hemp,790
"Pacific Foods Hazelnut, Unsweetened Original",3,No,Hazelnut,790
"Pacific Foods Hemp, Original, Unsweetened",3,No,Hemp,790
"Silk Almond, Unsweetened Original",3,No,Almond,760
"Earth's Own Oat, Original Unsweetened",3,No,Oat,760
"Wild Harvest Almond, Vanilla",3,No,Almond,760
"Silk Almond, Unsweetened Vanilla",3,No,Almond,760
"Califia Farms ""Go Coconuts"" Coconut, Water Blend",3,No,Coconut,750
"Suzie’s Quinoa, Unsweetened",3,No,Quinoa,750
"Oat-ly Oat, Original",3,No,Oat,750
"Oat-ly Oat, Barista",3,No,Oat,750
"365 Oat, Original",2,No,Oat,730
"Silk Almond, Dark Chocolate",2,No,Almond,710
"Silk Oat, Sugar-free",2,No,Cashew,710
"Silk Cashew, Unsweetened Vanilla",2,No,Cashew,710
"Silk Cashew, Unsweetened",2,No,Cashew,710
"Earth's Own Cashew, Unsweetened Original",2,No,Cashew,710
"Silk Soy, Chocolate",2,No,Soy,710
"Silk Coconut, Unsweetened",2,No,Coconut,710
"Silk Oat, Vanilla",2,No,Cashew,710
"Silk Oat, Extra Creamy",2,No,Cashew,710
"Silk Soy, Vanilla",2,No,Soy,710
"Silk Oat, Original",2,No,Cashew,710
"Silk Soy, Original",2,No,Soy,710
"Califia Farms Oat, Vanilla",2,No,Oat,700
"Tempt/Living Harvest Hemp, Chocolate",2,No,Hemp,700
"Tempt/Living Harvest Hemp, Unsweetened Vanilla",2,No,Hemp,700
"Full Circle Almond, Unsweetened Vanilla",2,No,Almond,700
"Natur-a Almond, Unsweetened",2,No,Almond,700
"Tempt/Living Harvest Hemp, Unsweetened Original",2,No,Hemp,700
"Friendly Farms Almond, Original, Unsweetened",2,No,Almond,700
"Natur-a Almond, Unsweetened Vanilla",2,No,Almond,700
"Pacific Foods Hemp, Unsweetened Vanilla",2,No,Hemp,690
"Pacific Foods Hazelnut, Original",2,No,Hazelnut,690
"Nature's Promise Almond, Original, Unsweetened",2,No,Almond,690
"Califia Farms Almond, Toasted Coconut",2,No,Blend,675
"Trader Joe's Almond, Unsweetened Original",2,No,Almond,670
"Silk Almond, Less Sugar Original",2,No,Almond,660
"Silk Almond, Less Sugar Vanilla",2,No,Almond,660
"Earth's Own Almond, Unsweetened Vanilla",2,No,Almond,660
"Simple Truth Almond, Unsweetened",2,No,Almond,660
"Wild Harvest Almond, Unsweetened Original",2,No,Almond,660
"Silk Soy, Very Vanilla",2,No,Soy,660
"Silk Almond, Vanilla",2,No,Almond,660
"Califia Farms Oat, Protein, Original",2,No,Oat,650
"Blue Diamond Almond, Original",2,No,Almond,650
"Califia Farms Almond, Vanilla, Unsweetened",2,No,Almond,650
"Suzie’s Quinoa, Vanilla",2,No,Quinoa,650
"Califia Farms Oat, Protein, Vanilla",2,No,Oat,650
"Califia Farms Almond, Unsweetened",2,No,Almond,650
"Full Circle Almond, Original Unsweetened",2,No,Almond,650
"Trader Joe's Almond, Unsweetened Vanilla",2,No,Almond,620
"Trader Joe's Coconut, Vanilla",2,No,Coconut,620
"Silk Coconut, Original",2,No,Coconut,610
"Silk Almond/Coconut, Original",2,No,Almond,610
"Tempt/Living Harvest Hemp, Original Vanilla",2,No,Hemp,600
"Good Karma Flax Milk, Chocolate",2,No,Flax,600
"Blue Diamond Almond, Banana Blend",2,No,Almond,600
"Good Karma Flax, Unsweetened plus Protein",2,No,Flax,600
Natur-a Almond/Coconut,2,No,Almond,600
"Blue Diamond Almond, Unsweetened Original",2,No,Almond,600
"Milkidamia, Lightly Sweetened",2,No,Macadamia,600
"Milkidamia, Unsweetened Vanilla",2,No,Macadamia,600
"Blue Diamond Almond/Coconut, Unsweetened Original",2,No,Blend,600
"Blue Diamond Almond, Unsweetened Vanilla",2,No,Almond,600
"Blue Diamond Almond, Hint of Honey",2,No,Almond,600
"Good Karma Flax, Vanilla plus Protein",2,No,Flax,600
"Natur-a Oat, Original",2,No,Oat,600
"Milkidamia, Unsweetened",2,No,Macadamia,600
"Tempt/Living Harvest Hemp, Original",2,No,Hemp,600
"Good Karma Flax Milk, Vanilla",2,No,Flax,600
"Milkidamia, Unsweetened Latte",2,No,Macadamia,600
"Pacific Foods Hemp, Vanilla",2,No,Hemp,590
"Pacific Foods Hazelnut, Chocolate",2,No,Hazelnut,590
"Dream Oat, Unsweetened",2,No,Oat,583
"Trader Joe's Almond/Cashew/Macadamia, Unsweetened",2,No,Almond,570
"Simple Truth Almond, Unsweetened Vanilla",2,No,Almond,560
"Earth's Own Almond, Vanilla",2,No,Almond,560
"Earth's Own Oat, Chocolate",2,No,Oat,560
"Earth's Own Oat, Unsweetened Vanilla",2,No,Oat,560
"Simple Truth Almond, Original",2,No,Almond,560
"Silk Almond, Original",2,No,Almond,560
"Earth's Own Almond, Unsweetened Original",2,No,Almond,560
"Oat-ly Oat, Chocolate",2,No,Oat,550
"Califia Farms Almond, Barista Blend",2,No,Almond,550
"Blue Diamond Almond, Chocolate",2,No,Almond,550
"Califia Farms Almond, Original",2,No,Almond,550
"Lucerne Almond, Unsweetened",2,No,Almond,550
"Full Circle Almond, Original",2,No,Almond,550
"Califia Farms Almond, Vanilla",2,No,Almond,550
"Dream Rice, Vanilla Enriched",2,No,Rice,533
"Trader Joe's Almond, Blueberry Lavender",2,No,Almond,520
"Trader Joe's Almond, Matcha",2,No,Almond,520
"Trader Joe's Soymilk, Unsweetened Original",2,No,Soy,520
"Good Karma Flax Milk, Original",2,No,Flax,500
"Blue Diamond Almond, Vanilla",2,No,Almond,500
"Natur-a Almond, Chocolate",2,No,Almond,500
"Natur-a Almond, Original",2,No,Almond,500
"Natur-a Almond, Vanilla",2,No,Almond,500
"Natur-a Oat, Chocolate",2,No,Oat,500
"Friendly Farms Almond, Vanilla",2,No,Almond,500
"Good Karma Plantmilk, Unsweetened",2,No,Oat/Flax,500
"Blue Diamond Almond, Reduced Sugar, Vanilla",2,No,Almond,500
"Dream Oat, Original",2,No,Oat,483
"Dream Coconut, Unsweetened",2,No,Coconut,483
"Simple Truth Almond, Chocolate",2,No,Almond,460
"Earth's Own Almond, Chocolate",2,No,Almond,460
"Earth's Own Almond, Original",2,No,Almond,460
"Lucerne Almond, Vanilla",2,No,Almond,450
"Full Circle Almond, Chocolate",2,No,Almond,450
"Full Circle Almond, Vanilla",2,No,Almond,450
"Nature's Promise Almond, Original Vanilla",2,No,Almond,440
"Nature's Promise Almond, Original",2,No,Almond,440
"Nature's Promise Almond, Unsweetened Vanilla",2,No,Almond,440
"Dream Rice, Horchata",2,No,Rice,433
"Simple Truth Coconut, Unsweetened",2,No,Coconut,410
"Good Karma Plantmilk, Original",2,No,Oat/Flax,400
"Ripple Pea, Unsweetened Original",2,No,Pea,400
"Good Karma Plantmilk, Chocolate",2,No,Oat/Flax,400
"Good Karma Plantmilk, Vanilla",2,No,Oat/Flax,400
"Full Circle Coconut, Original Unsweetened",2,No,Cocunut,400
"Ripple Pea, Unsweetened Vanilla",2,No,Pea,400
"Dream Coconut, Vanilla Enriched",2,No,Coconut,383
"Dream Almond, Unsweetened",2,No,Almond,383
"Lucerne Almond, Chocolate",1,No,Almond,350
"Simple Truth Coconut, Original",1,No,Coconut,310
"Ripple Pea, Original",1,No,Pea,300
"Ripple Pea, Vanilla",1,No,Pea,300
"Full Circle Coconut, Original",1,No,Coconut,300
"Ripple Pea, Chocolate",1,No,Pea,300
"8th Continent Soy, Original",1,No,Soy,0
"8th Continent Soy, Vanilla",1,No,Soy,0
