Brand,Rating,Product offerings,Market area,Location,Participated in Survey?,Score
Hawthorne Valley Farm And Creamery,4,Retail cuts,"Locally in NY, farm direct","Ghent, NY",No,770
Saint John's Organic Farm,4,"Retail cuts, whole, half","Farm direct, CSA, locally in ID","Emmett, ID",No,755
Sugar Hill Farm,4,"Whole, half, retail cuts",Farm direct,"Saint Marys, PA",No,750
Eel River Organic Beef,4,"Retail cuts, ground",Locally in CA,"Hydesville, CA",Partial,730
BlueLoon Farm,4,Retail cuts,"Farm direct, OH","West Salem, OH",No,730
McCluskey Brothers Organic Farms (Shillelagh Glen Farms),4,"Retail cuts, gound, bones","Locally in WI, online, shipped, farm direct","Hill Point, WI",No,715
Star Walker Organic Farm,4,"Retail cuts, jerky, ground",Online,"Fort Jones, CA",No,700
Cannon Hill Farm,4,"Retail cuts, ground",Locally in VA,"Mount Jackson, VA",No,690
Harvest Moon Organics,4,"Retail cuts, ground","Locally in WI, farm direct","La Crosse, WI",No,690
Elixir Farm,4,Retail cuts,Locally in AR and MO,"Brixey, MO",No,680
Winter Green Farm,4,Retail cuts,"Farm direct, CSA","Noti, Oregon",No,680
Keune Organic Meats,4,"Retail cuts, whole, half, quarter","Farm direct, locally in WI","Seymour, WI",No,680
Coulter Farms,4,"Retail cuts, ground","Locally in PA, online","Honey Grove, PA",No,675
Tide Mill Organic Farm,4,"Retail cuts, ground","Locally in ME, farm direct","Edmunds, ME",No,670
Dreamfarm,4,"Whole, half, quarter",Farm direct,"Cross Plains, WI",No,665
Longest Acres Farm,4,Retail cuts,"Delivery in VT and MA, farm direct, meat boxes","Chelsea, VT",No,665
Badger Brook Meats,4,"Retail cuts, organs, bones","Locally in VT, farm direct","Danville, VT",No,665
Squier Family Farm,3,"Retail cuts, ground","Farm direct, CSA","Middletown Springs, VT",No,660
Bittersweet Farm,3,Unknown,Locally in NY,"Heuvelton, NY",No,655
Spring Creek Farms,3,"Retail cuts, ground, halves",Farm direct,"Wernersville, PA",No,650
John's Farm & Cattle Tracks Beef,3,"Retail cuts, whole, half, quarter","Locally in OK, farm direct","Fairview, OK",No,650
White Barn Farm,3,"Retail cuts, ground",Farm direct,"Kinsman, OH",No,650
Skagit River Ranch,3,"Half, quarter, retail cuts","Locally in WA, farm direct","Sedro Woolley, WA",No,650
Trail's End Organic Farm,3,"Whole, half, quarter","Locally in IL, delivery","Putnam, IL",No,645
Freedom Food Farm,3,Retail cuts,"Locally in MA, CSA, WIC/SNAP","Raynham, MA",No,630
Emerald Valley Farm (Hamilton Heights Farm),3,"Retail cuts, ground, veal",Locally in PA,"Newville, PA",No,630
Farm On Wheels,3,"Retail cuts, ground","Locally in MN, farm store","Kenyon, MN",No,630
Grassfat Farm,3,Retail cuts,"Locally in SC, subscription box","Hodges, SC",No,630
Mint Creek Farm,3,"Wholesale, quarter, bulk","Locally in IL, farm direct, CSA","Cabery, IL",No,620
Cobblestone Valley Farm,3,"Retail cuts, sausages, whole, half, quarter, ground","Online, locally in NY","Preble, NY",No,615
Carversville Farm Foundation,3,"Retail cuts, ground",Locally in PA,"Mechanicsville, PA",No,605
Pautauwak Farms,3,"Retail cuts, whole, half","Online, farm direct","Alma Center, WI",No,605
Finch Family Farm,3,Retail cuts,Locally in NY,"South New Berlin, NY",No,600
M6 Ranch,3,"Retail cuts, ground","Farm direct, online","Couch, MO",No,595
Hu-Hill Farm LLC,3,"Retail cuts, ground",Farm direct,"Fort Plain, NY",No,590
Skiyou Ranch,3,"Whole, half, quarter","Locally in WA, farm direct","Sedro Woolley, WA",No,590
Wholly Cow Farms,3,"Bulk, retail cuts, ground","Locally in AR, farm direct","Judsonia, AR",No,585
White Thunder Organics,3,"Retail cuts, ground",Unknown,"Wood, SD",No,585
High Ridge Meadows Farm,3,"Whole, half, ground, retail cuts, organs, bones",Farm direct,"East Randolph, VT",No,580
Flying Dog Farm,3,"Retail cuts, ground, hot dogs","CSA, farm direct, locally in VT","South Royalton, VT",No,575
Shady Side Farm,3,"Retail cuts, ground, bones","Farm direct, online, locally in MI","Holland, MI",No,575
Simon Certified Organic Family Farm,3,"Retail cuts, sausage, hot dogs, ground, veal","Online, locally in OH","East Sparta, OH",No,575
Luna Bleu Farm,3,"Retail cuts, whole, bones","Locally in VT, CSA, online","South Royalton, VT",No,550
Harmony Valley Farm,3,"Retail cuts, whole, half, custom","Locally in MN, subscription box","Viroqua, WI",No,545
Reedy Fork Farm,3,"Retail cuts, organs, ground","Locally in NC, farm direct","Elon, NC",No,545
Graham's Organics,3,"Retail cuts, whole, half","Farm direct, locally in MI","Rosebush, MI",No,530
Dobson Dairy,3,Retail cuts,Farm direct,"Statesville, NC",No,525
Manna Farm,3,Retail cuts,Farm direct,"Farmdale, OH",No,520
Apple Creek Farm LLC,3,Retail cuts,"Maine, farmers market, CSA, online","Bowdoinham, ME",No,520
Green Alchemy Farm,3,"Whole, half, quarter, organs",Farm direct,"Kutztown, PA",No,515
Hanappe Ranch,3,"Halves, quarters","Online, locally in MN, subscription box","Northfield, MN",No,505
Potters Brook Ranch,3,"Whole, half, quarter",Unknown,"Litchfield, ME",No,505
Seifarm Grassfed Beef,3,"Half, quarter",Farm direct,"Oconto Falls, WI",No,500
Singing Cedars Farmstead,3,"Retail cuts, ground",Locally in VT,"Orwell, VT",No,490
King Hill Farm,3,"Half, quarter","Locally in ME, CSA","Penobscot, ME",No,490
Organic Prairie (CROPP),3,"Retail cuts, ground, hot dogs, sausage",Nationwide,"La Farge, WI",No,490
Five Star Farm,3,"Retail cuts, whole, half, live",Farm direct,"Oakville, WA",No,485
Two Loons Farm,3,"Veal, half, retail cuts","Farm direct, locally in ME","South China, ME",No,485
Hemlock Ridge Farm,3,"Retail cuts, ground, whole, half",Farm direct,"Avoca, NY",No,480
Hidden Acres Organics,3,"Retail cuts, ground",Farm direct,"Lynden, WA",No,480
Kiowa Valley Organics,3,"Wholesale, retail cuts, ground",Locally in CO,"Roggen, CO",No,480
Eakle Enterprises,3,"Whole, half, quarter",Farm direct,"Tremonton, UT",No,475
Seibel's Organic Meats,3,"Retail cuts, ground",Farm direct,"Bloomer, WI",No,475
Sweet Grass Dairy,3,"Retail cuts, organs, quarters, sausages, hot dogs, jerky, ground",Unknown,"Thomasville, GA",No,475
The Larson Farm,3,"Veal, whole, half",Farm direct,"Wells, VT",No,470
Mountain Meadow Farm,3,"Retail cuts, wholesale",Northeast,"Studbury, VT",No,470
Arabeth Farm,3,Retail cuts,Unknown,"Jordanville, NY",No,470
Wettstein Organic Farm,3,"Retail cuts, ground, sausages",Farm direct,"Carlock, IL",No,470
Brookfield Farm,3,Retail cuts,Locally in NH,"Walpole, NH",No,465
Oreganic Beef Co (Rocker 3 Ranch),3,"Retail cuts, ground","Nationwide, online","Madras, OR",No,465
Providence Farms,3,"Retail cuts, ground, whole, half","Online, delivery, locally in IN","Fairbanks, IN",No,465
Adams Homestead Farm,3,Retail cuts,"Online, Maine","Bowdoin, ME",No,460
Baese Family Farm,3,"Retail cuts, organs, ground",Locally in MI,"Elsie, MI",No,460
Pleasant River Farms,3,"Retail cuts, whole, half, quarter",Locally in ME,"Bethel, ME",No,450
Elmwood Stock Farm,3,"Retail cuts, ground, organs, sausages","Locally in KY, online, CSA","Georgetown, KY",No,450
Glaser Organic Beef,3,Retail cuts,"Farm direct, online","Spalding, NE",No,445
PnD Organic Beef,2,"Half, quarter, retail cuts",Farm direct,"Chehalis, WA",No,435
Parrott's Organic Farm & Livestock,2,"Retail cuts, ground",Farm direct,"Twin Falls, ID",No,435
Windecker's Grassy Knoll Beef,2,"Retail cuts, halves, quarters, bulk",Unknown,"Frankfort, NY",No,430
Grassway Organics,2,"Retail cuts, whole, half","Locally in WI, online","East Troy, WI",No,425
Odermann Organics,2,"Whole, half, retail cuts, ground",Locally in ND,"Belfield, ND",No,425
Mesman Farm,2,"Retail cuts, ground, hot dogs, bones",Farm direct,"Mt Vernon, WA",No,425
Rose Ridge Farm,2,"Retail cuts, ground",Farm direct,"Waynesburg, OH",No,420
Bossie's Best (VB Farms),2,"Retail cuts, whole, half","Locally in KS, direct market","Home, KS",No,410
Prairie Pastured Beef (Flaig Family Farm),2,"Retail cuts, ground",Farm direct,"Junction City, WI",No,410
Gibson Farms,2,"Retail cuts, whole","Locally in SC, farm direct","Westminster, SC",No,405
Montana Better Beef,2,"Retail cuts, ground","Locally in MT, farm direct","Kila, MT",No,400
Mount Airy Farms,2,"Retail cuts, whole, half, quarter","Farm direct, locally in VA","Upperville, VA",No,400
B Bar Beef,2,"Retail cuts, ground, sausage, jerky","Nationwide, online","Emigrant, MT",No,400
Kerith Brook Farm,2,"Retail cuts, whole, half, quarter",Farm direct,"Kutztown, PA",No,400
Snake Hill Farm,2,"Whole, half, quarter, retail cuts","Locally in OH, farm direct","Chagrin Falls, OH",No,390
Good Earth Farms,2,"Retail cuts, whole, half, ground","Farm direct, online, shipped","Milladore, WI",No,390
The Selkirk Ranch,2,"Whole, half, quarter, ground",Farm direct,"Sandpoint, ID",No,380
Medow Farms Organic,2,"Retail cuts, whole, half, quarter","Locally in WI, farm direct","Wabeno, WI",No,375
McKnight Farm,2,Retail cuts,Farm direct,"East Montpelier, VT",No,375
Miess Organic Beef Farm,2,Unknown,Farm direct,"Dodgeville, WI",No,375
SZ Ranch,2,Retail cuts,Locally in CA,"Cuyama, CA",No,370
Starr Valley Farm,2,Eighth,Farm direct,"Leechburg, PA",No,370
Brook Ridge Farm,2,"Retail cuts, whole, halves",Farm direct,"Lyman, ME",No,370
Stein's Organics,2,"Retail cuts, ground","Locally in WI, online, farm direct","Ettrick, WI",No,370
Valley View Dairy,2,"Half, quarter",Farm direct,"Maple Lake, MN",No,350
Winsome Farm Organics,2,Retail cuts,"Locally in NH, farm direct","Piermont, NH",No,345
C2 Cattle Co,2,Retail cuts,Unknown,"Eagle Point, OR",No,345
BF&E Organics (Boughan Farms & Enterprise),2,"Bulk, whole, halves, quarters",Locally in MI,"North Branch and Clifford, MI",No,335
Aspen Island LLC,2,"Whole, half, quarter","Online, Montana Billings area","Lavina, MT",No,330
Rocky Ridge Organic Dairy Farm,2,Ground,Farm direct,"Litchfield, ME",No,310
Snowball Ranch Organics,2,"Whole, half",Farm direct,"Eureka, NV",No,270
Cantagree Farms,2,Unknown,Unknown,"mendon, UT",No,260
A.T. Ranch,2,Unknown,Montana,"Cascade, MT",No,250
Country Pleasures Farm,2,Unknown,"Locally in MD, curbside","Middletown, MD",No,230
Cold Springs Ranch,2,Unknown,Locally in MT,"Bozeman, MT",No,230
C. R. Farms LLC,2,"Whole, half",Locally in VA,"Brandy Station, VA",No,230
Dirksen Organic Beef,2,"Retail cuts, ground","Locally in SD, farm direct","Conde, SD",No,230
Danda Farms,2,"Retail cuts, sausage, hot dogs",Farm direct,"Manheim, PA",No,230
Sandy Plains Farm,2,Ground,"Farm direct, locally in MN","Belgrade, MN",No,230
Bowman Road Farm,2,"Whole, half, quarters, ground, hot dogs",Unknown,"Barnard, VT",No,160
Strauss Brands Organic Meats,1,"Retail cuts, ground, veal",Nationwide,Unknown,No,140
Greensbury Market,1,Retail cuts,Online,"New York, NY",No,110
Raise American,1,Retail cuts,Nationwide,"Gordon, NE",No,100
Verde Farms,1,"Retail cuts, ground, sausages, wholesale","Nationwide, online","Woburn, MA",No,30
Daniel's Gourmet Meats & Sausages,1,Sausages,Unknown,"Bozeman, MT",No,0
Whole Foods,1,"Retail cuts, ground, sausages",Nationwide,"Austin, TX",No,0
American Custom Meats,1,Unknown,Unknown,"Tracey, CA",No,0
Simply Nature (Aldi),1,Retail cuts,Nationwide,"Batavia, IL",No,0
"Azure Standard (DBA of Azure Farms, Inc.)",1,"Retail cuts, buffalo, elk","Nationwide, online","Moro, OR",No,0
Blackwing Meats,1,"Retail cuts, wholesale, bison",Online,"Antioch, IL",No,0
Meyer Natural Foods,1,"Retail cuts, ground",Nationwide,"Loveland, CO",No,0
Applegate (Hormel),1,Sausages,Nationwide,"Austin, MN",No,0
Laura's Lean,1,"Jerky, ground","Online, South","Lexington, KY",No,0
Cedar Acre Organic Farms,1,Retail cuts,Locally in VT,"West Haven, VT",No,0
Wegmans,1,"Retail cuts, ground",Nationwide,"Rochester, NY",No,0
O Organics (Safeway),1,"Retail cuts, ground","Nationwide, online",,No,0
Simply Truth (Kroger),1,Retail cuts,Nationwide,"Cincinnati, OH",No,0
Burelli Farm,1,"Retail cuts, veal",Locally in VT,"Berlin, VT",No,0
