Brand Name,Rating,Products,Market Area,Score
Farmland Fresh,1,Fluid Milk,"Northeast, Southeast, Midwest",10
Full Circle Market (Topco),1,Fluid Milk,National,10
Good Culture,1,"Cottage Cheese, Lactose Free Cottage Cheese","West, Northeast",10
Great Value (Walmart),1,"Fluid Milk, Cheese","National, Online",10
Green Mountain Creamery (Lactilis),1,"Organic, Greek",,10
GreenWise (Publix),1,Fluid Milk,Southeast,10
Harvest Farms (Ingles Markets),1,Fluid Milk,Southeast,10
Kirkland Signature (Costco),1,Fluid Milk,National,10
Lifeway Keifer,1,Keifer,National,10
Market Basket (DeMoulas Super Markets),1,Fluid Milk,Northeast,10
Member's Mark (Sam's Club),1,"Instant, Fluid Milk",National,10
MOM's Organic Market,1,Fluid Milk,,10
Mt Vikos,1,Cheese,National,10
Naturally Better (Aldi),1,Fluid Milk,,10
Nature's Basket (Giant Eagle),1,Fluid Milk,,10
Nature's Best (KeHe),1,Fluid Milk,,10
Nature's Promise (Ahold Delhaize),1,Fluid Milk,Northeast,10
Nature's Touch (Kwik Trip),1,Fluid Milk,,10
O Organics (Safeway),1,"Cheese, Fluid Milk",National,10
Oberweis Dairy,1,Fluid Milk,,10
Pure Bliss (Similac),1,Formula,"Online, National",10
Rockview Farms,1,"Fluid Milk, Cream",CA,10
Roth Organics (Emmi),1,Cheese,Online,10
Roundy's Organics (Kroger),1,Fluid Milk,Midwest,10
Santini Foods,1,"Canned Milk, Evaporated Milk","National, Online",10
Sassy Cow Creamery,1,Fluid Milk,WI,10
Shamrock Farms,1,Fluid Milk,"Rocky Mountain, Southwest, West",10
Simple Truth (Kroger),1,"Fluid Milk, Cheese, Butter",National,10
Simply Nature (Aldi),1,"Fluid Milk, Cheese",National,10
Smith Brothers Farms,1,"Fluid Milk, Half and Half, Cottage Cheese, Sour Cream, Cream","Northwest, Online, Delivery",10
Sprouts,1,Fluid Milk,West,10
Stew Leonard's,1,Fluid Milk,"CT, NY, NJ",10
Stremicks Heritage,1,Fluid Milk,,10
Sunnyside Farms Dairy (Save Mart Supermarkets),1,Fluid Milk,"CA, NV",10
Trader Joe's,1,"Fluid Milk, Yogurt, Cream",National,10
True Goodness (Meijer),1,"Fluid Milk, Cheese",National,10
Wegmans,1,"Fluid Milk, Cheese",,10
Wellsley Farm (BJ's),1,"Cheese, Fluid Milk","East, IN, KY, OH, MI, FL, TN, AL",10
Wild Harvest (UNFI),1,Fluid Milk,,10
Wholesome Pantry (ShopRite),1,Fluid Milk,,10
Baby's Only (Bobbie),0,"Formula, Toddler, A2",,0
Family Farmstead Dairy,0,"Fluid Milk, Yogurt, Cheese, Buttermilk, A2, 100% Grassfed",Northeast,0
Grace Pond Farm,0,"Yogurt, Ice Cream, Cheese, Raw",ME,0
Kalona Supernatural (Farmers Creamery),0,"Fluid Milk, Half and Half, Cottage Cheese, Yogurt, Kefir","West, Midwest",0
Kimberton Hills Dairy (Camphill Village Kimberton Hills),0,"Fluid Milk, Raw, Cheese",PA,0
Maple Hill Creamery (Horizon Family Brands),0,"Fluid Milk, Yogurt",National,0
Nancy's (Springfield Creamery),0,"Yogurt, Sour Cream, Butter, Cream Cheese, Kefir",National,0
Neighborly Farms (Hillcrest Farms),0,Cheese,Northeast,0
Norr Organic,0,"Skyr, Yogurt, Wholesale",West,0
Origin Milk,0,"A2, Fluid Milk, Cream","Midwest, PA, MA, VI, OK, WY, TX, UT, CO, NM, OH, VT, KS, AK, LA",0
Pavel's Yogurt,0,"Yogurt, A2",CA,0
Seven Stars,0,"Yogurt, Cream","Online, PA",0
The Milkhouse,0,"Fluid Milk, Yogurt",ME,0
Von Trapp Farmstead,0,"Cheese, Yogurt, Fluid Milk, Raw","VT, Online",0
