Brand Name,Rating,Market Area,Score
Oliver's Organic Eggs (Can Am Farms),4,East,1210
Farmers Hen House Organic Free Range,4,Nationwide,1180
Day Creek Organic Farms,4,WA,1180
Helpful Hens (Egg Innovations),4,Midwest,1180
Blue Sky Family Farms Free Range Organic (Egg Innovations),4,"WI, OH, IL",1180
Vital Farms Restorative Organic Eggs,4,Nationwide,1165
Carol's,4,"East Coast, Midwest",1150
Handsome Brook Farm,4,Nationwide,1145
Vital Farms Organic,4,Nationwide,1135
Nature's Yoke (Westfield Egg Farm),4,Unknown,1115
New Century Farm,4,IA,1115
Pete and Gerry's Organic Eggs,4,East Coast,1100
Bethesda Farms,4,FL,1080
Elmwood Stock Farm,4,KY,1070
Stiebrs Farms,4,WA,1060
Milo’s Poultry Farms,4,WI,1025
Sauder's Quality Eggs,4,Nationwide,1020
Happy Egg,4,Nationwide,1000
Contented Hen Pasture Raised (Mid States Specialty Eggs),4,Nationwide,995
Red Hill Farms Pasture Raised,3,CA,955
Alderfer Eggs,3,"Central, Southeast",910
Wilcox Organic Free Range,3,"WA, OR, CA, CO, MT, ID",900
Contented Hen (Mid States Specialty Eggs),3,Nationwide,850
Lancaster Farm Fresh Co-op,3,Unknown,845
Hidden Camp Farm,3,NY,740
Kellner Back Acre Garden,3,WI,715
Meandering Farmers Pastured Eggs,3,CA,700
Rock Hill Eggs,3,Unknown,635
Organic Valley,2,Nationwide,555
Hillandale Farms,2,Unknown,535
Green Pastures Poultry,2,Unknown,520
Clover Sonoma Pastured,2,"CA , West Coast",495
Nest Fresh Eggs,2,Nationwide,485
M & M Organic Farms,2,WI,470
Kirkland Signature Pastured,2,Nationwide,410
Born Free,2,"East, Midwest",390
Wegman's Pasture-Raised Organic,2,East Coast,370
City Farm,1,Unknown,330
Nicasio Valley Farm,1,CA,235
Chino Valley Ranchers Pasture Raised,1,Nationwide,230
Country Hen,1,Nationwide,210
Phil's (Pearl Valley Farms),1,Unknown,165
Eggs R Us,1,Nationwide,165
Marin Sun Farms,1,CA,160
Amish Organic Eggs (Kauma),1,Unknown,140
Glaum Egg Ranch,1,CA,115
Circle JD Ranch,1,WI,75
Gwendolyn's (Wild Rose Foods),1,OR,75
Vande Bunte Eggs,1,Unknown,60
Kreher's Farm Fresh Eggs,1,Nationwide,50
Today's Farm Organic,1,Nationwide,50
Member's Mark (Sam's Club/Walmart),1,Nationwide,50
Oakdell Egg Farms,1,Unknown,50
Noah's Pride (Kreider Farms),1,Unknown,50
Land O'Lakes,1,Nationwide,40
O Organics (Albertson’s),1,Nationwide,30
Vega Farms,1,CA,30
Chino Valley Ranchers,1,Nationwide,30
SEG Grocers Naturally Better Organic (Winn-Dixie),1,Southeast,20
Abbotsford Egg Products (Michael Foods),1,Nationwide,20
Eggland's Best,1,Nationwide,20
Wegman's Organic Cage Free,1,East Coast,0
Farmers Harvest (CCF Brands),1,Unknown,0
Earth's Pride (BJ's Wholesale),1,East,0
Harvest Farms Organic (Ingles),1,GA,0
Green Meadow Organics (Herbruck's Poultry Ranch),1,Nationwide,0
Shepherd's Processed Eggs,1,Wholesale,0
Wellsley Farms (BJ's Wholesale Club),1,East Coast,0
Hickman's Family Farms,1,Western US,0
Fresh Thyme,1,Midwest,0
Full Circle (Topco),1,Unknown,0
Willamette Egg Farms Organic,1,Unknown,0
Nature's Place (Delhaize),1,Nationwide,0
Pearl Valley Eggs,1,Unknown,0
Wild Harvest (SuperValu),1,Nationwide,0
Sunshine Farms,1,Unknown,0
H-E-B Organics,1,"TX, MEX",0
GreenWise Organic (Publix Market),1,Southeast,0
Inspired (IO) Organic Eggs,1,Nationwide,0
Judy's Family Farm (Petaluma Farms),1,CA,0
Horizon Organic (Danone),1,Nationwide,0
The Farmer's Hen (Shoprite),1,East,0
Farmhouse Eggs (Cal-Maine),1,Nationwide,0
Hidden Villa Ranch,1,Unknown,0
Simply Roundy's (Kroger),1,Upper midwest,0
Fairfield Specialty Eggs,1,Unknown,0
Clearly Organic (Associated Wholesale Grocers),1,"Midwest, KS",0
Fairway Market,1,NYC,0
True Goodness (Meijer),1,Upper midwest,0
Stew Leonard's,1,Northeast,0
Naturally Organic (Nationwide Food Corp),1,Nationwide,0
Nature's Basket (Giant Eagle/Ahold USA),1,Nationwide,0
Good and Gather (Target),1,Nationwide,0
Kirkland Signature (Costco),1,Nationwide,0
Marketside (Walmart),1,Nationwide,0
Great Day (CCF Brands),1,unknown,0
Esbenshade Farms,1,PA,0
Lunds & Byerlys,1,MN,0
EcoMeal,1,"NY, NJ",0
Wholesome Pantry (Shoprite),1,East Coast,0
Heinen's,1,"OH, IL",0
365 by Whole Foods Market,1,Nationwide,0
Mountainside Farms,1,Eastern US,0
Sun Harvest Organic (Smart and Final),1,Western US,0
Great Value (Walmart),1,Nationwide,0
Gemperle Family Farms,1,Unknown,0
Sprouts Organic,1,Nationwide,0
Clover Sonoma,1,CA,0
Simply Nature (Aldi),1,Nationwide,0
Simple Truth (Kroger),1,Nationwide,0
Trader Joe's,1,Nationwide,0
Barnstar Family Farms (NuCal),1,Nationwide,0
Cadia,1,Nationwide,0
Sparboe Farms Organic,1,Upper midwest,0
Green Way,1,NY NJ,0
Nature's Promise (Giant),1,Nationwide,0
Petaluma Pastures,1,CA,0
Gelson's Market,1,CA,0
